	logamplitude	logpitch	logFM	logAM2	logentropy	logpitchgoodness	logmeanfreq	logvpitch	logvFM	logventropy	logvpitchgoodness	vmeanfreq	PC1	PC1neg	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	Population	Domesticated	Template	Target
146	0.7354381	0.644399886	0.590723214	0.618890036	0.597761833	0.540450416	0.475191673	0.126996233	0.369312675	0.560707374	0.447909766	0.449458021	1.650984374	-1.650984374	-0.274599074	0.092450315	-0.454602662	-0.52008369	0.285300613	-0.053569775	0.101404443	0.023800103	-0.127529726	-0.141050792	-0.023346866	ECU	Domesticated	filtered_NewRunLP49_tclust	filtered_NewRunPU167_tclust
147	0.441515391	0.636649897	0.576735449	0.573923111	0.626962932	0.67706294	0.336105551	0.256824787	0.406002137	0.64390194	0.509362193	0.36397987	1.541470652	-1.541470652	0.755245295	0.004509084	-0.95905333	-0.070951708	0.279262065	-0.110246008	-0.095386095	0.164250012	-0.17728471	-0.302428327	0.18186098	ECU	Domesticated	filtered_NewRunLP49_tclust	filtered_NewRunPU170_tclust
148	0.936551562	0.561169273	0.667858718	0.498013971	0.461040752	0.680545668	0.555049001	0.020202711	0.504482068	0.589132479	0.402439938	0.464148585	1.79789792	-1.79789792	-0.948503135	-0.432381888	-0.243154953	-0.518488239	-0.07816055	-0.311566081	-0.330267086	0.149815951	0.270495636	-0.024369046	0.301579095	ECU	Domesticated	filtered_NewRunLP49_tclust	filtered_SameEarlierALP68_tclust
149	0.367488552	0.525081354	0.601230126	0.492873084	0.397729918	0.68539263	0.289025997	0.173454081	0.335438151	0.398268919	0.483931139	0.452925747	0.793644445	-0.793644445	0.674968081	-0.424258933	-0.785116176	0.230719685	0.32796931	-0.478675048	-0.007245577	-0.453567649	0.162469043	-0.181488896	0.191767734	ECU	Domesticated	filtered_NewRunLP49_tclust	filtered_SameEarlierALP75_tclust
150	0.470867814	0.623738482	0.818696143	0.742881501	0.363868161	0.874646555	0.501878041	0.16276487	0.352827957	0.521812652	0.684607131	0.416903818	2.064507375	-2.064507375	0.488960199	-1.123393964	-0.538499753	0.104549873	0.615101187	-0.898539962	0.426803652	-0.104181678	-0.041013937	-0.555167899	0.138750601	ECU	Domesticated	filtered_NewRunLP74_tclust	filtered_NewRunDP99_tclust
151	0.953637565	0.648350474	0.76198334	0.66296389	0.778411458	0.757308991	0.82271944	0.608469624	0.722926264	0.684559622	0.700337203	0.799391764	4.040661604	-4.040661604	-0.427750445	0.100645584	0.332622051	0.136054911	-0.292296291	0.144863272	-0.186967855	-0.288884867	0.133879718	0.032499634	-0.013192984	ECU	Domesticated	filtered_NewRunLP74_tclust	filtered_NewRunLP47_tclust
152	0.678714597	0.710575286	0.688385634	0.711948433	0.607472585	0.690013612	0.769062644	0.501125867	0.614562327	0.584295443	0.615784915	0.622558702	3.101689859	-3.101689859	0.252100808	-0.05874068	0.388210601	-0.024470161	0.221753291	-0.201684468	0.114853405	-0.114053441	-0.016378445	0.098655918	0.010206861	ECU	Domesticated	filtered_NewRunLP74_tclust	filtered_NewRunLP49_tclust
153	0.81944563	0.881745145	0.887113868	0.804860405	0.92521577	0.893858676	0.878881576	0.724912628	0.818013633	0.767313081	0.81682557	0.792498451	5.087088416	-5.087088416	0.281860003	-0.042961027	0.117230329	0.056139045	0.205749306	0.257079989	0.002118032	-0.083465956	0.094625884	0.03539806	0.003291721	ECU	Domesticated	filtered_NewRunLP74_tclust	filtered_NewRunLP85_tclust
154	0.757738096	0.582318832	0.599616582	0.520468922	0.490114105	0.745003043	0.90432163	0.449002943	0.493424691	0.511036381	0.594726158	0.539362972	2.533963767	-2.533963767	-0.189748155	-0.420410173	1.014010284	0.239152473	0.15407424	-0.087867214	-0.361277078	-0.068897726	-0.055652889	-0.118293385	0.193526191	ECU	Domesticated	filtered_NewRunLP74_tclust	filtered_NewRunLP87_tclust
155	0.84297887	0.788142882	0.903605822	0.706118354	0.722902344	0.7853217	0.771528678	0.651509774	0.690644171	0.681429608	0.734229845	0.741903583	4.178157097	-4.178157097	-0.052323119	-0.039050683	0.096203297	0.151584684	0.235436618	-0.123780219	-0.028971387	-0.154297492	0.406580008	-0.0766475	-0.135879337	ECU	Domesticated	filtered_NewRunLP74_tclust	filtered_NewRunPU167_tclust
