	logamplitude	logpitch	logFM	logAM2	logentropy	logpitchgoodness	logmeanfreq	logvpitch	logvFM	logventropy	logvpitchgoodness	vmeanfreq	PC1	PC1neg	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	batch	Population	batchpop	Template	Target
24	0.299033167	0.189913999	0.150113218	0.270186868	0.414736119	0.126375127	0.180041371	0.128325457	0.121349983	0.488077531	0.131547547	0.117773999	-1.638815725	1.638815725	0.628686807	0.970109608	-0.367985891	-0.022050182	-0.53423496	0.038671248	-0.259589099	0.293285625	-0.339143518	-0.343741067	-0.117202347	UIUC	TGG	UIUC-TGG	filtered_tgg3_tclust	filtered_tgg5_tclust
25	0.557653345	0.451015203	0.43928304	0.469677923	0.411159847	0.34680144	0.549320463	0.503439998	0.304968578	0.315404474	0.333412115	0.381883634	0.571827385	-0.571827385	0.144970469	0.624433534	0.575532891	0.402319141	0.175855142	-0.115952928	0.147705787	-0.083925589	0.127286748	0.014796271	-0.093572748	UIUC	TGG	UIUC-TGG	filtered_tgg4_tclust	filtered_tgg1_tclust
26	0.568154989	0.243024959	0.386764198	0.235909368	0.154632504	0.246418844	0.283452585	0.128055143	0.149310355	0.118179965	0.210773075	0.160466706	-1.386428866	1.386428866	-0.424870871	0.151830716	0.079601542	0.493762205	0.072324129	-0.358084816	-0.035419969	0.002359027	0.403056534	0.031541918	-0.146768079	UIUC	TGG	UIUC-TGG	filtered_tgg4_tclust	filtered_tgg2_tclust
27	0.454610644	0.199412022	0.022719672	0.067425981	0.31363544	-0.016781061	0.087897293	0.269382305	-0.026399544	0.12507443	0.008153906	0.295514093	-2.453453489	2.453453489	-0.085807747	1.577180624	-0.078419048	0.439261634	-0.120802558	0.235894035	-0.484295635	-0.56711888	0.066411968	0.085041483	-0.121270469	UIUC	TGG	UIUC-TGG	filtered_tgg4_tclust	filtered_tgg3_tclust
28	0.535116838	0.288691124	0.236377607	0.280414376	0.415553453	0.298143535	0.320011524	0.392915901	0.230306638	0.407821215	0.286023069	0.331042308	-0.42318056	0.42318056	0.086922066	0.911638465	-0.00180438	0.508782475	-0.310862357	-0.010247856	-0.4424685	-0.111508626	-0.150958123	-0.108170419	-0.000590975	UIUC	TGG	UIUC-TGG	filtered_tgg4_tclust	filtered_tgg5_tclust
29	-0.065972776	-0.006424875	-0.044899516	-0.081504929	0.012774436	-0.123931627	0.086393751	-0.085330811	-0.157139817	-0.136796055	-0.193793753	-0.281731896	-4.941918639	4.941918639	0.994887758	0.516518755	0.345597852	0.476648266	0.048806285	0.12350921	-0.125635081	0.330425344	0.201769827	0.031047596	-0.076751776	UIUC	TGG	UIUC-TGG	filtered_tgg5_tclust	filtered_tgg1_tclust
30	-0.008351745	-0.306120832	-0.106360457	-0.174874319	0.047547342	-0.06726951	-0.159242564	-0.282605353	-0.192052693	-0.236939965	-0.274705819	-0.283240719	-5.829973819	5.829973819	0.550343802	0.334464326	-0.362324576	0.73450527	-0.682747889	0.344895933	-0.069205761	0.026253267	0.233081018	-0.049192475	0.251571969	UIUC	TGG	UIUC-TGG	filtered_tgg5_tclust	filtered_tgg2_tclust
31	0.276392909	0.028004753	-0.061267553	0.096380253	0.134794148	-0.026420321	-0.037216733	-0.114804967	-0.113778247	0.105242238	-0.108405269	-0.100862378	-3.931979506	3.931979506	0.127446055	0.909780227	-0.391426841	0.187816224	-0.262943	-0.083051368	-0.139560409	0.176542259	-0.26886731	-0.069462783	0.100264435	UIUC	TGG	UIUC-TGG	filtered_tgg5_tclust	filtered_tgg3_tclust
32	0.755978243	0.142232476	0.162047983	0.193886027	0.208795554	0.207115899	0.296622304	0.12264444	0.060237524	0.177751393	0.075129164	0.057857576	-1.821587443	1.821587443	-1.033648023	0.634568453	0.272829396	0.420929447	-0.199612567	-0.059084426	-0.239622312	0.297107272	-0.050179066	-0.068537915	0.227554557	UIUC	TGG	UIUC-TGG	filtered_tgg5_tclust	filtered_tgg4_tclust
33	0.073133588	-0.040074362	-0.051120008	-0.050100428	-0.146261733	0.177602913	0.024733961	-0.284088486	-0.109425872	-0.125587734	0.150178175	-0.135328437	-4.417243981	4.417243981	0.473394605	-0.476749681	-0.137870169	0.839022474	-0.017882629	-0.488155242	-0.490377943	-0.190365574	-0.346253636	0.096300897	0.000141767	ECU	TGG	ECU-TGG	filtered_BL65_tclust	filtered_BR82_tclust
34	0.352841379	-0.155320945	-0.047253922	0.030846126	-0.039002118	0.085816555	-0.011129903	-0.64387209	-0.304506387	-0.322993393	-0.148207562	-0.118902152	-5.077701582	5.077701582	-0.738862275	-0.420206797	-0.22702044	0.079462964	-0.138349957	0.051744687	0.222664416	-0.454790713	-0.216991501	-0.021225932	0.322964382	ECU	TGG	ECU-TGG	filtered_BL65_tclust	filtered_DP51LP79_tclust
35	0.705897018	-0.162427337	-0.105720852	0.011761642	-0.120907295	-0.159738765	-0.04645246	-0.354532387	-0.285206448	-0.219203901	-0.022114162	-0.170002213	-4.862671984	4.862671984	-1.706167918	0.485751578	-0.07643983	0.543224965	-0.231986166	-0.296737858	-0.015686852	-0.015933629	-0.358955631	0.107091111	-0.303614806	ECU	TGG	ECU-TGG	filtered_BL65_tclust	filtered_DP77_tclust
36	0.313413301	0.038419185	0.009035896	0.067842257	0.059294688	0.158317121	0.196801127	-0.211855231	-0.149716369	-0.117701445	0.101511814	-0.11162165	-3.623914444	3.623914444	-0.137659326	-0.172026535	0.216656777	0.541093907	0.127743538	0.050033722	-0.143141252	-0.033144785	-0.37164395	-0.050483608	0.046640683	ECU	TGG	ECU-TGG	filtered_BL65_tclust	filtered_WH10_tclust
37	0.861374721	0.026434288	0.209140937	0.26589591	-0.014584625	0.272205872	0.078372731	-0.429291488	-0.190472252	-0.052167806	0.484285275	-0.188618526	-2.743943424	2.743943424	-1.931448011	-0.841799477	-0.636968364	0.733853188	0.224614949	-0.521592175	0.170778269	0.29134938	-0.801504343	-0.298083673	-0.440603666	ECU	TGG	ECU-TGG	filtered_BL65_tclust	filtered_WH18_tclust
38	0.720969622	-0.004028417	0.186646041	0.112637125	0.025172389	0.123967479	0.023485971	-0.288762409	-0.15523413	-0.052993182	0.275076353	-0.142094942	-3.239236826	3.239236826	-1.456586757	-0.223775021	-0.534497712	0.706146994	0.004157777	-0.292188843	-0.048438331	0.20473652	-0.248778309	-0.197464528	-0.420323408	ECU	TGG	ECU-TGG	filtered_BL65_tclust	filtered_YE182_tclust
