	logamplitude	logpitch	logFM	logAM2	logentropy	logpitchgoodness	logmeanfreq	logvpitch	logvFM	logventropy	logvpitchgoodness	vmeanfreq	PC1	PC1neg	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	Population	Template	Target
56	0.131788842	0.168933249	-0.004278876	0.066683018	0.072025793	0.062248607	0.067928298	-0.170600738	-0.152318143	-0.132675173	0.049678396	-0.117104001	-3.897909437	3.897909437	0.470365578	0.175878695	-0.116946989	0.414558641	0.476518404	0.016904904	-0.098190567	-0.078616523	-0.244485389	0.128963735	-0.092041223	Timor	filtered_DP51LP79_tclust	filtered_YE182_tclust
57	0.368950347	0.028569	0.045806436	0.069981321	-0.227357279	-0.106662751	-0.115089226	-0.560009567	-0.29856513	-0.26152588	-0.096002907	-0.242860012	-5.166622838	5.166622838	-0.743589937	-0.086459469	-0.424709884	0.031926373	0.426768428	-0.648059794	0.264609547	0.022762058	0.00652193	0.137619546	-0.264955373	Timor	filtered_DP51LP79_tclust	filtered_YE188_tclust
58	0.399286551	0.118359213	0.086048709	0.148408626	0.279369234	-0.070940545	0.184450323	-0.160414228	-0.085029026	-0.135516847	-0.066477868	-0.023330328	-3.335778088	3.335778088	-0.282003274	0.591583598	0.146769282	0.018465975	0.06038157	0.555907704	0.320239611	-0.043559256	0.024323382	0.183233789	-0.21029697	Timor	filtered_DP51LP79_tclust	filtered_YE189_tclust
59	0.321167043	0.01457834	0.120021692	-0.051594341	-0.140801791	0.009913074	-0.138888476	-0.492272306	-0.141902932	-0.214239929	-0.200125211	-0.198074826	-4.934799398	4.934799398	-0.462265232	-0.116828876	-0.600653991	0.097898714	0.134053266	-0.407500298	-0.05922925	0.052219901	0.539760678	0.231349393	0.108078288	Timor	filtered_DP51LP79_tclust	filtered_YE41_tclust
60	0.312257346	-0.141626472	-0.069275679	-0.072885057	-0.158641332	-0.264225515	-0.119174909	-0.568873252	-0.467397614	-0.225725831	-0.216730407	-0.276561465	-5.982888329	5.982888329	-0.699195589	0.326769432	-0.208460201	-0.016898728	0.033729218	-0.229620092	0.060428016	-0.011452493	-0.039253811	-0.266716548	-0.369663446	Timor	filtered_DP77_tclust	filtered_BL65_tclust
61	0.038938055	-0.094962269	-0.121995282	-0.203323078	0.107283305	0.034372288	-0.144411011	-0.417447958	-0.268547937	-0.257671885	-0.214023152	-0.221851483	-5.533364907	5.533364907	0.41211825	0.111390961	-0.553132746	0.41713584	-0.063663535	0.56526495	-0.373814202	-0.207005111	0.062525729	-0.011904397	0.32029512	Timor	filtered_DP77_tclust	filtered_BR82_tclust
62	-0.315776963	-0.231011301	-0.155621876	-0.196799362	-0.207983104	-0.14299929	-0.110544709	-0.989332986	-0.628207694	-0.645965768	-0.555320725	-0.602068519	-8.071933137	8.071933137	0.756999913	-0.848318265	0.015870477	-0.291242946	0.48594553	0.423841344	0.550740518	0.005122131	0.191526731	-0.225548634	0.412688573	Timor	filtered_DP77_tclust	filtered_DP51LP79_tclust
63	0.05857219	-0.147139195	-0.064918656	0.079570776	-0.061032351	0.019344362	0.142940367	-0.40834472	-0.293878509	-0.320483275	-0.17657212	-0.162845164	-5.084344034	5.084344034	0.287241396	-0.235255432	0.458552545	0.252752971	-0.055227025	0.007937202	0.447428567	-0.321625082	-0.207762057	-0.091469522	0.244931236	Timor	filtered_DP77_tclust	filtered_WH10_tclust
64	0.004360565	-0.037136544	-0.031787932	-0.22860982	-0.08585613	-0.039090502	-0.189578694	-0.837030145	-0.312874702	-0.487073664	-0.045025276	-0.472506548	-6.334545717	6.334545717	0.152342901	-0.977337002	-0.783186211	0.286242865	0.514102623	0.348433576	-0.152547997	0.107994331	0.023236117	0.27761499	-0.3142785	Timor	filtered_DP77_tclust	filtered_WH18_tclust
65	-0.305869823	-0.321125641	-0.174920096	-0.573620366	-0.528742335	-0.325493445	-0.292759879	-1.374799646	-0.660859657	-0.781451301	-0.513467088	-0.828796301	-9.795595396	9.795595396	0.267873389	-1.508737528	-0.281546549	-0.205564895	0.519630256	0.084943647	-0.245888623	0.281897628	0.579978379	0.082588173	-0.223388846	Timor	filtered_DP77_tclust	filtered_YE182_tclust
